#separator:tab
#html:false
#tags column:3
V1: Nenne die drei Eras of Computing (Weiser) mit Jahr und Verhältnis Computer:Mensch.	Mainframe (1950, 1 Computer:viele) → PC (1975, 1:1) → Ubiquitous Computing (2000, viele:1, nearly invisible).	V1
V1: Was bedeutet „Good technology is invisible“?	Gute Technik tritt hinter die Aufgabe zurück und zieht keine Aufmerksamkeit auf sich (Bleistift, Auto); Computer sind meist NICHT unsichtbar.	V1
V1: Warum ist UbiComp „die Umkehrung der Virtual Reality“?	VR bringt die Welt in den Computer; UbiComp bringt den Computer in die Welt — der Mensch (nicht der Computer) steht im Zentrum.	V1
V1: Die drei Definitions-Säulen von UbiComp?	(1) 3. Ära des Computing (2) unsichtbare Technologie (3) Fortschritt aus Embedded Systems.	V1
V1: Affordance — wer prägte den Begriff, wer brachte ihn in die HCI?	Geprägt von Gibson (1979), in die HCI gebracht von Norman (1988).	V1
V1: Embedded Software (Lee) — was ist das technische Kernproblem?	Management von Zeit und Nebenläufigkeit (concurrency).	V1
V1: Die drei PARC-Prototypen (1992) mit Größe und Anzahl/Nutzer?	Tab (Inch/Post-It, mehrere/Nutzer) · Pad (Foot/Tablet, eines/Nutzer) · Board (Yard/LiveBoard, eines/Büro).	V1
V1: UbiComp vs. KI — vervollständige: „smart verhält sich zu intelligent wie …“	… Neuronen zu Gehirnen. Viele smarte Komponenten (winziger Weltausschnitt); Sinn entsteht durch Vernetzung.	V1
V1: Was ist ein Living Lab?	Methode: Prototypen im realen Arbeits-/Alltagsumfeld einsetzen und untersuchen.	V1
V1: Users-Computers-Reality — die vier Modelle?	GUI (1 C) · VR (C umschließt U) · AR (C zwischen U und R) · UbiComp (viele C). Mediated Reality: VR⊂AR⊂Mixed⊂Mediated.	V1
V2: Die drei Kausalitätskriterien nach Mill (1843)?	Ursache geht voraus + Ursache und Wirkung korrelieren + alle anderen Erklärungen ausgeschlossen.	V2
V2: Unabhängige vs. abhängige Variable + was ist ein „Level“?	Unabhängig = manipuliert; abhängig = gemessen. Level = Anzahl unterschiedlicher Werte der unabhängigen Variable.	V2
V2: Was ist die Nullhypothese und warum widerlegt man sie?	Sagt „kein Effekt“ voraus. Widerlegen ist logisch einfacher als die Hypothese direkt zu beweisen.	V2
V2: Mode vs. Median vs. Mean (je Skalenniveau)?	Mode = häufigster Wert (auch nominal). Median = mittlerer Wert, robust (ab ordinal). Mean = Summe/Anzahl, ausreißerempfindlich (nur Intervall/Ratio).	V2
V2: Ab welchem p-Wert signifikant? Heißt das praktisch relevant? Tests?	p ≤ 5 %. Nein, signifikant ≠ praktisch relevant. Tests: Permutationstest, t-Test, ANOVA.	V2
V2: Observational vs. experimental vs. quasi-experimental — welches erlaubt Kausalaussagen?	Experimental (isoliert/kontrolliert Variablen). Quasi-experimentell = keine zufällige Zuordnung (z.B. Ethik).	V2
V2: Die vier quasi-experimentellen Designs — welches ist History-Threat-anfällig?	One-group post-test · one-group pre/post-test · interrupted time-series (History-Threat!) · static group comparison.	V2
V2: Within-subject vs. between-group (je 1 Vor-/Nachteil)?	Within: + weniger n, − Carry-over. Between: + kein Carry-over, − mehr n / schwerer signifikant.	V2
V2: Was lehrt das Lanarkshire-Milk-Experiment (1930)?	Trotz 20.000 Kindern wertlos, weil Lehrer arme Kinder bevorzugt der Milchgruppe zuteilten → Randomisierung ist kritisch.	V2
V2: Was macht UbiComp-Evaluation schwer und welche Lösungen?	„In the wild“ (Labor erklärt nur ~20 % der Alltagsvarianz), ganzes System muss erst gebaut werden. Lösungen: Wizard of Oz, Living Lab, Participatory Design.	V2
V2: Solomon-4-Gruppen-Design — wozu?	Trennt Treatment-Effekt vom Pre-Test-Effekt (2 Experimental- + 2 Kontrollgruppen), aber sehr teuer.	V2
